							Integrated Y1	Integrated Y 2	Integrated Y 3
	20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt		Lumatec 2 Filter 3 skaliert		20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt
249,37	0	0	0		0		0	0	0
250,16	0	0	0		0		0	0	0
250,96	0	0	0		0		0	0	0
251,76	3,2079	3,1717	3,6058		1,58585		1,28315999999997	1,26867999999997	1,44231999999997
252,56	3,0991	2,968	3,5401		1,484		3,80596000000001	3,72456000000001	4,30068000000001
253,36	3,0643	3,0482	3,626		1,5241		6,27132000000004	6,13104000000004	7,16712000000005
254,16	3,0449	3,0715	3,6113		1,53575		8,71499999999999	8,57891999999999	10,06204
254,95	3,0178	3,0505	3,5925		1,52525		11,1097665	10,99711	12,907541
255,75	3,0283	3,0586	3,599		1,5293		13,5282065	13,44075	15,784141
256,55	2,9935	3,0506	3,5837		1,5253		15,9369265	15,88443	18,657221
257,35	3,0029	3,0822	3,6086		1,5411		18,3354865000001	18,3375500000001	21,5341410000001
258,15	2,9735	3,1026	3,593		1,5513		20,7260464999999	20,8114699999999	24,4147809999999
258,94	2,989	3,1418	3,6389		1,5709		23,081234	23,278008	27,2713815
259,74	2,9999	3,1865	3,6573		1,59325		25,476794	25,809328	30,1898615
260,54	3,0062	3,2256	3,6827		1,6128		27,8792340000001	28,3741680000001	33,1258615000001
261,34	3,0039	3,252	3,6787		1,626		30,2832739999999	30,9652079999999	36,0704214999999
262,13	3,0181	3,294	3,7039		1,647		32,661964	33,550878	38,9865485
262,93	3,0277	3,3134	3,7319		1,6567		35,080284	36,193838	41,9608685
263,73	3,0493	3,3892	3,7712		1,6946		37,5110840000001	38,8748780000001	44,9621085000001
264,52	3,0501	3,4593	3,8001		1,72965		39,9203469999999	41,5800354999999	47,9527719999999
265,32	3,0821	3,5316	3,8725		1,7658		42,373227	44,3763955	51,021812
266,12	3,0719	3,5861	3,892		1,79305		44,834827	47,2234755	54,127612
266,92	3,0968	3,6386	3,9317		1,8193		47,302307	50,1133555000001	57,2570920000001
267,71	3,0959	3,6824	3,9353		1,8412		49,7484234999999	53,0051504999999	60,3645569999999
268,51	3,1021	3,7451	3,9628		1,87255		52,2276235	55,9761505	63,523797
269,31	3,1186	3,8066	4,0031		1,9033		54,7159035	58,9968305	66,710157
270,1	3,1206	3,8802	4,0542		1,9401		57,1803875000001	62,0331165000001	69,8927905000001
270,9	3,1212	3,9374	4,1		1,9687		59,6771074999999	65,1601564999999	73,1544704999999
271,7	3,118	4,0239	4,144		2,01195		62,1727875	68,3446765	76,4520704999999
272,49	3,1017	4,0757	4,1605		2,03785		64,629569	71,5440185000001	79,732348
273,29	3,1016	4,1242	4,1956		2,0621		67,1108890000001	74,8239785000001	83,0747880000001
274,08	3,0841	4,1841	4,188		2,09205		69,5542405	78,1057569999999	86,3863099999999
274,88	3,0835	4,2506	4,2115		2,1253		72,0212805	81,479637	89,74611
