Wasser_exc370_20nm slit each_slow,,
Wavelength (nm),Intensity (a.u.),
390,107.3221207,
391.0700073,86.0351181,
392,70.78116608,
393.0700073,55.6354866,
394,45.10835266,
395.0700073,36.29021072,
396,29.98129845,
397.0700073,23.52874374,
398,19.92190742,
399.0700073,17.5055275,
400,16.44989777,
401.0599976,15.94804955,
401.9599915,16.22870827,
403.0299988,17.27451897,
403.9299927,18.55560684,
405,20.61755943,
406.0599976,22.64744377,
406.9599915,25.15661621,
408.0299988,27.75982475,
408.9299927,29.8002739,
410,32.27814102,
411.0700073,35.62114334,
412,37.71894073,
413.0700073,40.25124741,
414,42.27178955,
415.0700073,44.67219925,
416,46.31531525,
417.0700073,48.29523087,
418,49.59688568,
419.0700073,51.45559692,
420,52.59585571,
421.0599976,53.20007324,
421.9599915,53.99255371,
423.0299988,54.08161926,
423.9299927,54.00972366,
425,53.36310959,
426.0599976,52.07511139,
426.9599915,51.13748932,
428.0299988,49.1989975,
428.9299927,47.66932297,
430,45.15991592,
431.0700073,42.75074768,
432,40.82047653,
433.0700073,38.74542618,
434,36.75796127,
435.0700073,34.58208466,
436,32.22579575,
437.0700073,30.23100281,
438,28.69886398,
439.0700073,26.60133553,
440,24.14934349,
441.0599976,21.99923706,
441.9599915,20.43650818,
443.0299988,18.28795433,
443.9299927,17.10824966,
445,15.40622234,
446.0599976,13.7048378,
446.9599915,12.71143818,
448.0299988,11.5464325,
448.9299927,10.66967964,
450,10.00631809,
451.0599976,9.043219566,
451.9599915,8.607484818,
453.0299988,8.040240288,
453.9299927,7.671609402,
455,7.370341778,
456.0599976,7.244784832,
456.9599915,7.015200138,
458.0299988,6.867383957,
458.9299927,6.80504179,
460,6.703717709,
461.0599976,6.613130569,
461.9599915,6.590569019,
463.0299988,6.605191708,
463.9299927,6.426758766,
465,6.424833775,
466.0599976,6.378202915,
466.9599915,6.330504417,
468.0299988,6.323969364,
468.9299927,6.14061451,
470,6.198330402,
471.0599976,6.042106628,
471.9599915,6.017694473,
473.0299988,5.970861912,
473.9299927,5.909119129,
475,5.93144846,
476.0599976,5.922564507,
476.9599915,5.806391716,
478.0299988,5.793593884,
478.9299927,5.783240318,
480,5.652151108,
481.0400085,5.55639267,
481.9400024,5.61575079,
482.980011,5.571842194,
484.019989,5.500113487,
485.0700073,5.364364147,
485.9700012,5.409548759,
487.0100098,5.307199001,
488.0499878,5.330790997,
488.9500122,5.12010479,
490,5.206063271,
491.0599976,5.028077126,
491.9599915,4.938426495,
493.0299988,4.960678101,
493.9299927,4.916077614,
495,4.787279129,
496.0599976,4.800584316,
496.9599915,4.738309383,
498.0299988,4.670207024,
498.9299927,4.558840275,
500,4.475179195,
501.0400085,4.446280956,
501.9400024,4.423761368,
502.980011,4.291211605,
504.019989,4.223753929,
505.0700073,4.179645538,
505.9700012,4.166026115,
507.0100098,4.016056061,
508.0499878,3.961652994,
508.9500122,3.957467079,
510,3.741980314,
511.0599976,3.713627815,
511.9599915,3.767909765,
513.0300293,3.635447979,
