
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 2	Oxygen Sensor Spot / FTC (trace range)	% O2	OFF	TC7-499-063	3	ON External	25.000	ON	1013	0.000	40%	400x	60	ON manual	1.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.001	24.480	1006	100.000	20.950	50.493	6.332	0.827	0.075	470	0.874	-0.350	0.719	0.883	-0.000106	
Data	Smoothing:	10	
Date:	23.07.2019	
			 		Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
23.07.2019	10:17:09	0.00		---	-0.0010216	---	---	---	24.617	---	---	1018.04	63.260	24.617	---	---	---	50.462	---	---	---	261.572	---	---	---	2.251	---	---	
23.07.2019	10:18:09	60.00		---	-0.0018468	---	---	---	24.620	---	---	1017.96	62.913	24.620	---	---	---	50.486	---	---	---	261.648	---	---	---	2.233	---	---	
23.07.2019	10:19:09	120.00		---	0.00077612	---	---	---	24.622	---	---	1017.88	62.739	24.622	---	---	---	50.407	---	---	---	261.544	---	---	---	2.032	---	---	
23.07.2019	10:20:09	180.00		---	0.0020141	---	---	---	24.576	---	---	1017.80	62.473	24.576	---	---	---	50.374	---	---	---	261.587	---	---	---	2.170	---	---	
23.07.2019	10:21:09	240.00		---	-0.00034390	---	---	---	24.552	---	---	1017.74	62.301	24.552	---	---	---	50.448	---	---	---	261.486	---	---	---	2.200	---	---	
23.07.2019	10:22:09	300.00		---	0.00076639	---	---	---	24.544	---	---	1017.77	62.141	24.544	---	---	---	50.415	---	---	---	261.501	---	---	---	1.892	---	---	
23.07.2019	10:23:09	360.00		---	0.00027511	---	---	---	24.540	---	---	1017.78	62.026	24.540	---	---	---	50.429	---	---	---	261.284	---	---	---	2.219	---	---	
23.07.2019	10:24:09	420.00		---	-1.9650E-5	---	---	---	24.603	---	---	1017.82	61.919	24.603	---	---	---	50.433	---	---	---	261.359	---	---	---	2.133	---	---	
23.07.2019	10:25:09	480.00		---	-0.00026528	---	---	---	24.652	---	---	1017.78	61.835	24.652	---	---	---	50.436	---	---	---	261.296	---	---	---	2.171	---	---	
23.07.2019	10:26:09	540.00		---	0.00060914	---	---	---	24.669	---	---	1017.82	61.669	24.669	---	---	---	50.408	---	---	---	261.325	---	---	---	2.101	---	---	
23.07.2019	10:27:09	600.00		---	0.00050106	---	---	---	24.643	---	---	1017.84	61.531	24.643	---	---	---	50.413	---	---	---	261.365	---	---	---	2.149	---	---	
23.07.2019	10:28:09	660.00		---	0.0013067	---	---	---	24.640	---	---	1017.81	61.388	24.640	---	---	---	50.389	---	---	---	261.315	---	---	---	2.102	---	---	
23.07.2019	10:29:09	720.00		---	0.0012773	---	---	---	24.663	---	---	1017.81	61.367	24.663	---	---	---	50.388	---	---	---	261.306	---	---	---	2.263	---	---	
23.07.2019	10:30:09	780.00		---	-8.8425E-5	---	---	---	24.680	---	---	1017.81	61.407	24.680	---	---	---	50.428	---	---	---	261.218	---	---	---	2.185	---	---	
23.07.2019	10:31:09	840.00		---	0.0016407	---	---	---	24.716	---	---	1017.88	61.373	24.716	---	---	---	50.371	---	---	---	261.164	---	---	---	2.251	---	---	
23.07.2019	10:32:09	900.00		---	0.0011987	---	---	---	24.691	---	---	1017.77	61.143	24.691	---	---	---	50.388	---	---	---	261.261	---	---	---	2.188	---	---	
23.07.2019	10:33:09	960.00		---	0.00028497	---	---	---	24.656	---	---	1017.65	60.903	24.656	---	---	---	50.419	---	---	---	261.303	---	---	---	2.143	---	---	
23.07.2019	10:34:09	1020.00		---	0.0015918	---	---	---	24.622	---	---	1017.72	60.792	24.622	---	---	---	50.382	---	---	---	261.210	---	---	---	2.122	---	---	
23.07.2019	10:35:09	1080.00		---	0.00096297	---	---	---	24.629	---	---	1017.68	60.681	24.629	---	---	---	50.400	---	---	---	261.175	---	---	---	2.064	---	---	
