
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (trace range)	umol/l	OFF	UB7-498-064	3	ON External	20.000	ON	1004	1.000	30%	40x	240	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	17.254	23.511	1007	100.000	20.950	50.083	6.802	0.827	0.075	470	0.874	-0.350	0.811	0.000	-0.000106	
Data	Smoothing:	1	
Date:	10.03.2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
10.03.2020	15:29:35	0.00		0.0080000	---	---	---	16.448	---	---	---	994.07	33.871	16.448	---	---	50.148	---	---	---	71.298	---	---	---	0.647	---	---	---	
10.03.2020	15:29:36	0.97		-0.013000	---	---	---	16.448	---	---	---	994.04	33.833	16.448	---	---	50.183	---	---	---	71.295	---	---	---	0.636	---	---	---	
10.03.2020	15:29:37	1.94		0.015000	---	---	---	16.438	---	---	---	994.04	33.833	16.438	---	---	50.137	---	---	---	71.293	---	---	---	0.626	---	---	---	
10.03.2020	15:29:38	2.91		-0.0020000	---	---	---	16.443	---	---	---	993.98	33.833	16.443	---	---	50.166	---	---	---	71.285	---	---	---	0.631	---	---	---	
10.03.2020	15:29:39	3.87		-0.0040000	---	---	---	16.440	---	---	---	994.01	33.833	16.440	---	---	50.169	---	---	---	71.287	---	---	---	0.639	---	---	---	
10.03.2020	15:29:40	4.86		0.0000	---	---	---	16.443	---	---	---	994.16	33.833	16.443	---	---	50.161	---	---	---	71.291	---	---	---	0.635	---	---	---	
10.03.2020	15:29:41	5.83		-0.0090000	---	---	---	16.446	---	---	---	994.07	33.833	16.446	---	---	50.177	---	---	---	71.289	---	---	---	0.639	---	---	---	
10.03.2020	15:29:42	6.80		-0.0050000	---	---	---	16.448	---	---	---	994.13	33.802	16.448	---	---	50.170	---	---	---	71.279	---	---	---	0.653	---	---	---	
10.03.2020	15:29:43	7.75		-0.0080000	---	---	---	16.443	---	---	---	994.04	33.833	16.443	---	---	50.175	---	---	---	71.285	---	---	---	0.634	---	---	---	
10.03.2020	15:29:44	8.73		0.0060000	---	---	---	16.440	---	---	---	994.01	33.833	16.440	---	---	50.152	---	---	---	71.293	---	---	---	0.627	---	---	---	
10.03.2020	15:29:45	9.69		0.0010000	---	---	---	16.446	---	---	---	994.07	33.802	16.446	---	---	50.159	---	---	---	71.297	---	---	---	0.635	---	---	---	
10.03.2020	15:29:46	10.69		0.0000	---	---	---	16.448	---	---	---	994.07	33.802	16.448	---	---	50.162	---	---	---	71.277	---	---	---	0.622	---	---	---	
10.03.2020	15:29:47	11.69		0.0030000	---	---	---	16.446	---	---	---	994.16	33.802	16.446	---	---	50.156	---	---	---	71.299	---	---	---	0.661	---	---	---	
10.03.2020	15:29:48	12.69		-0.0020000	---	---	---	16.443	---	---	---	994.04	33.802	16.443	---	---	50.165	---	---	---	71.287	---	---	---	0.656	---	---	---	
10.03.2020	15:29:49	13.69		0.010000	---	---	---	16.443	---	---	---	994.07	33.802	16.443	---	---	50.145	---	---	---	71.302	---	---	---	0.642	---	---	---	
10.03.2020	15:29:50	14.69		0.0070000	---	---	---	16.448	---	---	---	994.10	33.802	16.448	---	---	50.149	---	---	---	71.289	---	---	---	0.652	---	---	---	
10.03.2020	15:29:51	15.69		-0.0090000	---	---	---	16.443	---	---	---	994.07	33.802	16.443	---	---	50.177	---	---	---	71.287	---	---	---	0.639	---	---	---	
10.03.2020	15:29:52	16.69		0.014000	---	---	---	16.448	---	---	---	994.04	33.802	16.448	---	---	50.137	---	---	---	71.304	---	---	---	0.640	---	---	---	
10.03.2020	15:29:53	17.69		-0.0060000	---	---	---	16.443	---	---	---	994.13	33.802	16.443	---	---	50.172	---	---	---	71.295	---	---	---	0.630	---	---	---	
10.03.2020	15:29:54	18.69		0.0060000	---	---	---	16.446	---	---	---	994.13	33.833	16.446	---	---	50.150	---	---	---	71.301	---	---	---	0.638	---	---	---	
10.03.2020	15:29:55	19.69		-0.013000	---	---	---	16.443	---	---	---	994.22	33.833	16.443	---	---	50.184	---	---	---	71.292	---	---	---	0.640	---	---	---	
10.03.2020	15:29:56	20.69		0.0090000	---	---	---	16.440	---	---	---	994.04	33.833	16.440	---	---	50.147	---	---	---	71.309	---	---	---	0.627	---	---	---	
10.03.2020	15:29:57	21.69		0.0060000	---	---	---	16.448	---	---	---	994.07	33.833	16.448	---	---	50.151	---	---	---	71.311	---	---	---	0.639	---	---	---	
10.03.2020	15:29:58	22.69		-0.0010000	---	---	---	16.446	---	---	---	994.13	33.871	16.446	---	---	50.164	---	---	---	71.296	---	---	---	0.623	---	---	---	
10.03.2020	15:29:59	23.69		-0.0050000	---	---	---	16.440	---	---	---	994.19	33.871	16.440	---	---	50.170	---	---	---	71.301	---	---	---	0.628	---	---	---	
10.03.2020	15:30:00	24.69		0.011000	---	---	---	16.448	---	---	---	994.01	33.901	16.448	---	---	50.143	---	---	---	71.309	---	---	---	0.639	---	---	---	
10.03.2020	15:30:01	25.69		-0.0030000	---	---	---	16.448	---	---	---	994.07	33.871	16.448	---	---	50.167	---	---	---	71.292	---	---	---	0.639	---	---	---	
10.03.2020	15:30:02	26.70		0.012000	---	---	---	16.446	---	---	---	994.10	33.871	16.446	---	---	50.141	---	---	---	71.295	---	---	---	0.638	---	---	---	
10.03.2020	15:30:03	27.69		0.011000	---	---	---	16.443	---	---	---	993.95	33.871	16.443	---	---	50.143	---	---	---	71.298	---	---	---	0.639	---	---	---	
10.03.2020	15:30:04	28.69		-0.0060000	---	---	---	16.440	---	---	---	994.04	33.871	16.440	---	---	50.173	---	---	---	71.292	---	---	---	0.629	---	---	---	
10.03.2020	15:30:05	29.69		0.018000	---	---	---	16.448	---	---	---	994.13	33.871	16.448	---	---	50.131	---	---	---	71.305	---	---	---	0.639	---	---	---	
10.03.2020	15:30:06	30.69		0.0060000	---	---	---	16.440	---	---	---	994.13	33.871	16.440	---	---	50.151	---	---	---	71.297	---	---	---	0.642	---	---	---	
