
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (trace range)	umol/l	OFF	UB7-498-064	3	ON External	20.000	ON	1004	0.500	30%	40x	240	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	17.254	23.511	1007	100.000	20.950	50.083	6.802	0.827	0.075	470	0.874	-0.350	0.811	0.000	-0.000106	
Data	Smoothing:	1	
Date:	25.04.2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
25.04.2020	17:33:01	0.00		0.040000	---	---	---	16.451	---	---	---	1007.54	24.952	16.451	---	---	50.095	---	---	---	71.704	---	---	---	0.638	---	---	---	
25.04.2020	17:33:11	10.00		0.047000	---	---	---	16.448	---	---	---	1007.60	24.914	16.448	---	---	50.084	---	---	---	71.679	---	---	---	0.650	---	---	---	
25.04.2020	17:33:21	20.00		0.034000	---	---	---	16.451	---	---	---	1007.57	24.876	16.451	---	---	50.104	---	---	---	71.678	---	---	---	0.651	---	---	---	
25.04.2020	17:33:31	30.00		0.040000	---	---	---	16.448	---	---	---	1007.57	24.853	16.448	---	---	50.096	---	---	---	71.679	---	---	---	0.636	---	---	---	
25.04.2020	17:33:41	40.00		0.044000	---	---	---	16.451	---	---	---	1007.69	24.815	16.451	---	---	50.088	---	---	---	71.679	---	---	---	0.640	---	---	---	
25.04.2020	17:33:51	50.00		0.060000	---	---	---	16.448	---	---	---	1007.60	24.815	16.448	---	---	50.063	---	---	---	71.688	---	---	---	0.641	---	---	---	
25.04.2020	17:34:01	60.00		0.028000	---	---	---	16.453	---	---	---	1007.54	24.776	16.453	---	---	50.115	---	---	---	71.673	---	---	---	0.660	---	---	---	
25.04.2020	17:34:11	70.00		0.049000	---	---	---	16.461	---	---	---	1007.45	24.776	16.461	---	---	50.080	---	---	---	71.697	---	---	---	0.657	---	---	---	
25.04.2020	17:34:21	80.00		0.046000	---	---	---	16.448	---	---	---	1007.69	24.731	16.448	---	---	50.086	---	---	---	71.688	---	---	---	0.636	---	---	---	
25.04.2020	17:34:31	90.00		0.049000	---	---	---	16.451	---	---	---	1007.57	24.731	16.451	---	---	50.081	---	---	---	71.662	---	---	---	0.623	---	---	---	
25.04.2020	17:34:41	100.00		0.042000	---	---	---	16.453	---	---	---	1007.54	24.731	16.453	---	---	50.092	---	---	---	71.654	---	---	---	0.651	---	---	---	
